Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
,3,"Tether
 
USDT
 
USDT",$1.00,-0.1%,-0.6%,-0.0%,"$99,816,549,374","$62,065,495,051",,,,,
,8,"USD Coin
 
USDC
 
USDC",$1.00,-0.1%,0.3%,0.4%,"$3,345,985,404","$22,631,308,161",,,,,
,11,"Uniswap
 
UNI
 
UNI",$26.80,2.4%,7.1%,58.5%,"$887,510,424","$13,850,618,013",,,,,
,13,"Chainlink
 
LINK
 
LINK",$28.83,2.1%,1.6%,43.4%,"$1,968,471,860","$12,328,445,891",,,,,
,15,"Polygon
 
MATIC
 
MATIC",$1.88,0.3%,-0.3%,71.0%,"$4,183,460,756","$11,740,850,577",,,,,
,19,"Binance USD
 
BUSD
 
BUSD",$1.00,-0.7%,0.3%,0.5%,"$5,099,811,721","$8,687,179,076",,,,,
,21,"Wrapped Bitcoin
 
WBTC
 
WBTC","$36,994.32",0.6%,3.1%,6.4%,"$340,577,204","$6,860,962,809",,,,,
,27,"Aave
 
AAVE
 
AAVE",$360.59,0.8%,9.4%,21.6%,"$538,430,987","$4,595,071,543",,,,,
,28,"Dai
 
DAI
 
DAI",$1.00,-0.1%,-0.3%,-0.0%,"$486,075,099","$4,439,299,386",,,,,
,29,"Shiba Inu
 
SHIB
 
SHIB",$0.00000804,1.0%,2.8%,-1.9%,"$389,898,180","$4,005,334,089",,,,,
,31,"OKB
 
OKB
 
OKB",$13.71,1.8%,6.1%,11.7%,"$668,831,281","$3,697,341,577",,,,,
,33,"cETH
 
CETH
 
CETH",$51.09,2.2%,5.4%,20.5%,"$19,873,750","$3,399,361,529",,,,,
,35,"cDAI
 
CDAI
 
CDAI",$0.02155863,0.1%,-0.1%,-2.3%,"$81,182,052","$3,199,550,034",,,,,
,36,"Crypto.com Coin
 
CRO
 
CRO",$0.126552,0.4%,9.1%,29.0%,"$92,809,813","$3,193,114,237",,,,,
,38,"Maker
 
MKR
 
MKR","$3,501.97",0.3%,6.9%,26.9%,"$207,260,420","$3,144,209,096",,,,,
,39,"cUSDC
 
CUSDC
 
CUSDC",$0.02212211,0.3%,0.1%,-0.0%,"$388,287,338","$3,135,912,751",,,,,
,40,"Celsius Network
 
CEL
 
CEL",$7.27,0.2%,1.1%,16.5%,"$34,590,019","$3,073,127,477",,,,,
,46,"FTX Token
 
FTT
 
FTT",$33.17,1.3%,3.4%,22.3%,"$112,750,033","$2,885,479,654",,,,,
,48,"Huobi Token
 
HT
 
HT",$15.02,1.3%,1.4%,17.8%,"$316,401,157","$2,631,979,442",,,,,
,53,"LEO Token
 
LEO
 
LEO",$2.39,-0.0%,8.9%,-5.3%,"$2,821,467","$2,269,396,122",,,,,
,55,"Compound
 
COMP
 
COMP",$423.97,-1.6%,9.1%,23.1%,"$177,089,802","$2,210,348,446",,,,,
,56,"Sushi
 
SUSHI
 
SUSHI",$11.71,1.0%,8.1%,29.1%,"$561,243,914","$1,996,870,805",,,,,
,57,"TerraUSD
 
UST
 
UST",$0.999992,-0.5%,-0.1%,4.0%,"$44,976,933","$1,953,489,413",,,,,
,58,"Synthetix Network Token
 
SNX
 
SNX",$12.65,1.1%,5.4%,6.4%,"$88,126,354","$1,952,229,849",,,,,
,62,"Telcoin
 
TEL
 
TEL",$0.03242066,1.0%,10.9%,33.7%,"$58,564,740","$1,774,926,529",,,,,
,63,"Amp
 
AMP
 
AMP",$0.03796918,0.6%,4.0%,20.3%,"$4,323,312","$1,744,818,316",,,,,
,67,"yearn.finance
 
YFI
 
YFI","$46,288.63",3.6%,8.4%,40.3%,"$443,649,873","$1,669,522,719",,,,,
,68,"Holo
 
HOT
 
HOT",$0.00901823,1.7%,4.6%,46.6%,"$172,386,679","$1,582,481,386",,,,,
,69,"Enjin Coin
 
ENJ
 
ENJ",$1.63,0.9%,-4.4%,70.4%,"$556,889,122","$1,522,102,369",,,,,
,70,"Chiliz
 
CHZ
 
CHZ",$0.278811,0.7%,-1.0%,29.4%,"$229,444,659","$1,488,649,483",,,,,
,73,"Waves
 
WAVES
 
WAVES",$13.44,2.2%,1.8%,-10.5%,"$202,845,090","$1,340,767,506",,,,,
,74,"TrueUSD
 
TUSD
 
TUSD",$1.00,-0.6%,0.3%,0.2%,"$87,700,662","$1,283,792,059",,,,,
,75,"Paxos Standard
 
PAX
 
PAX",$1.00,-0.8%,0.1%,-0.1%,"$49,306,918","$1,265,775,455",,,,,
,79,"Huobi BTC
 
HBTC
 
HBTC","$36,867.80",0.7%,2.9%,6.5%,"$436,350","$1,176,317,805",,,,,
,80,"Lido Staked Ether
 
STETH
 
STETH","$2,551.79",0.6%,6.1%,21.0%,"$2,108,563","$1,132,519,473",,,,,
,81,"NEXO
 
NEXO
 
NEXO",$2.02,0.8%,4.1%,36.7%,"$15,653,607","$1,130,446,065",,,,,
,82,"Basic Attention Token
 
BAT
 
BAT",$0.741476,0.6%,2.4%,31.6%,"$145,585,580","$1,105,479,605",,,,,
,83,"Decentraland
 
MANA
 
MANA",$0.819385,1.8%,3.5%,30.8%,"$93,156,537","$1,081,566,810",,,,,
,85,"Fei Protocol
 
FEI
 
FEI",$1.00,-0.2%,0.7%,1.9%,"$106,999,099","$1,028,698,791",,,,,
,89,"The Graph
 
GRT
 
GRT",$0.783030,2.3%,17.4%,19.0%,"$188,329,031","$955,896,139",,,,,
,92,"Bancor Network Token
 
BNT
 
BNT",$4.52,1.0%,2.6%,20.5%,"$101,280,223","$914,205,922",,,,,
,93,"OMG Network
 
OMG
 
OMG",$6.45,0.2%,2.0%,49.7%,"$321,496,561","$904,317,796",,,,,
,94,"HUSD
 
HUSD
 
HUSD",$1.00,-0.3%,-0.0%,0.8%,"$103,969,431","$865,538,060",,,,,
,95,"xSUSHI
 
XSUSHI
 
XSUSHI",$13.54,2.2%,7.9%,33.4%,"$1,813,806","$844,595,877",,,,,
,97,"0x
 
ZRX
 
ZRX",$0.981294,0.2%,0.3%,21.9%,"$209,671,868","$823,872,044",,,,,
,98,"UMA
 
UMA
 
UMA",$13.59,0.3%,4.2%,15.5%,"$19,426,985","$823,616,121",,,,,
,99,"Fantom
 
FTM
 
FTM",$0.314725,1.3%,4.2%,23.4%,"$77,941,911","$800,220,491",,,,,
,100,"SwissBorg
 
CHSB
 
CHSB",$0.839218,3.3%,7.2%,40.3%,"$4,606,774","$798,925,462",,,,,
,101,"Ankr
 
ANKR
 
ANKR",$0.106520,1.7%,4.6%,4.0%,"$51,478,187","$743,729,054",,,,,
,102,"Liquity USD
 
LUSD
 
LUSD",$1.03,-0.9%,1.3%,1.8%,"$12,738,361","$738,717,481",,,,,
,103,"GateToken
 
GT
 
GT",$4.43,1.1%,2.1%,10.7%,"$14,389,182","$731,177,153",,,,,
,109,"XDC Network
 
XDC
 
XDC",$0.054996,0.2%,9.7%,17.4%,"$5,293,121","$677,944,450",,,,,
,110,"Nexus Mutual
 
NXM
 
NXM",$98.07,0.9%,6.5%,23.8%,"$91,273","$677,107,663",,,,,
,111,"Curve DAO Token
 
CRV
 
CRV",$1.79,1.3%,3.6%,34.1%,"$191,087,455","$647,969,002",,,,,
,113,"cUSDT
 
CUSDT
 
CUSDT",$0.02122465,-0.2%,0.0%,-2.6%,"$2,592,639","$599,425,345",,,,,
,116,"FEG Token
 
FEG
 
FEG",$0.00000001,2.0%,11.9%,123.1%,"$11,312,340","$571,409,490",,,,,
,117,"KuCoin Token
 
KCS
 
KCS",$7.24,1.0%,6.4%,21.2%,"$13,912,449","$570,025,631",,,,,
,118,"Voyager Token
 
VGX
 
VGX",$2.54,-0.2%,9.0%,20.4%,"$3,091,716","$566,088,709",,,,,
,120,"Quant
 
QNT
 
QNT",$43.28,0.5%,3.5%,35.1%,"$9,020,531","$557,840,833",,,,,
,121,"Livepeer
 
LPT
 
LPT",$23.55,-0.1%,0.5%,71.1%,"$10,611,320","$557,826,066",,,,,
,122,"1inch
 
1INCH
 
1INCH",$3.16,0.1%,14.3%,32.8%,"$105,318,725","$527,645,329",,,,,
,123,"Pundi X [OLD]
 
NPXS
 
NPXS",$0.00214777,-16.2%,-6.2%,62.6%,"$40,992","$507,988,597",,,,,
,128,"Reserve Rights Token
 
RSR
 
RSR",$0.03615168,3.4%,6.4%,20.4%,"$96,589,189","$479,824,498",,,,,
,130,"SKALE
 
SKL
 
SKL",$0.477250,-4.9%,10.4%,76.5%,"$154,691,800","$462,689,317",,,,,
,131,"Loopring
 
LRC
 
LRC",$0.379624,6.8%,9.0%,38.5%,"$44,253,225","$462,238,985",,,,,
,132,"Tenset
 
10SET
 
10SET",$5.22,-2.3%,-16.7%,54.0%,"$15,660,315","$451,505,403",,,,,
,134,"sETH
 
SETH
 
SETH","$2,564.40",0.5%,5.4%,22.6%,"$12,371,761","$435,913,039",,,,,
,136,"Pundi X
 
PUNDIX
 
PUNDIX",$1.66,0.2%,1.3%,12.5%,"$7,382,718","$428,647,565",,,,,
,138,"REN
 
REN
 
REN",$0.477047,0.6%,4.3%,29.5%,"$49,157,053","$417,494,535",,,,,
,142,"Status
 
SNT
 
SNT",$0.098744,3.8%,8.8%,16.6%,"$39,133,427","$385,619,447",,,,,
,143,"renBTC
 
RENBTC
 
RENBTC","$36,999.49",0.7%,3.0%,6.9%,"$2,689,076","$372,276,517",,,,,
,144,"Dent
 
DENT
 
DENT",$0.00378982,-1.4%,4.8%,25.4%,"$36,408,584","$362,507,436",,,,,
,145,"Tribe
 
TRIBE
 
TRIBE",$0.882395,1.0%,5.4%,1.0%,"$10,370,554","$359,419,275",,,,,
,146,"iExec RLC
 
RLC
 
RLC",$5.03,2.7%,6.9%,-7.1%,"$33,039,608","$358,857,427",,,,,
,147,"Neutrino USD
 
USDN
 
USDN",$0.991688,-0.4%,0.9%,4.6%,"$41,590,328","$344,502,438",,,,,
,149,"Reef Finance
 
REEF
 
REEF",$0.02712899,1.4%,2.3%,30.2%,"$68,502,550","$341,586,014",,,,,
,150,"Mirror Protocol
 
MIR
 
MIR",$4.82,1.6%,2.2%,36.1%,"$34,582,713","$337,258,565",,,,,
,151,"TitanSwap
 
TITAN
 
TITAN",$3.34,-1.9%,4.7%,24.5%,"$7,298,847","$334,684,511",,,,,
,154,"AscendEx Token
 
ASD
 
ASD",$0.436613,0.1%,-0.5%,2.8%,"$508,385","$329,285,697",,,,,
,155,"Band Protocol
 
BAND
 
BAND",$9.27,-2.7%,26.1%,36.0%,"$280,739,039","$327,737,348",,,,,
,157,"Balancer
 
BAL
 
BAL",$29.54,1.2%,4.9%,14.5%,"$29,296,107","$317,803,254",,,,,
,158,"cUNI
 
CUNI
 
CUNI",$0.530180,2.4%,5.2%,57.5%,"$593,763","$316,212,778",,,,,
,159,"GivingToServices
 
SVCS
 
SVCS",$0.060591,0.6%,8.7%,25.6%,"$1,734,035","$308,254,015",,,,,
,160,"Numeraire
 
NMR
 
NMR",$53.52,1.1%,-2.1%,53.1%,"$117,020,073","$307,698,265",,,,,
,161,"Golem
 
GLM
 
GLM",$0.302970,1.6%,4.8%,13.2%,"$2,652,046","$300,334,911",,,,,
,164,"SingularityNET
 
AGI
 
AGI",$0.291487,-7.1%,7.7%,61.1%,$846,"$282,687,010",,,,,
,165,"Alchemix USD
 
ALUSD
 
ALUSD",$1.01,-0.1%,0.8%,-0.1%,"$2,256,118","$275,012,820",,,,,
,166,"Axie Infinity
 
AXS
 
AXS",$4.93,-0.7%,8.0%,44.9%,"$86,474,759","$271,794,360",,,,,
,167,"Tokamak Network
 
TON
 
TON",$7.65,-0.4%,-0.2%,1.9%,"$15,600,095","$268,172,720",,,,,
,168,"Injective Protocol
 
INJ
 
INJ",$9.25,2.1%,4.4%,19.7%,"$21,164,010","$265,665,386",,,,,
,169,"Gnosis
 
GNO
 
GNO",$176.68,1.1%,3.9%,27.2%,"$2,691,806","$265,103,512",,,,,
,171,"Celer Network
 
CELR
 
CELR",$0.04582680,-1.5%,-2.4%,70.6%,"$66,240,676","$259,941,133",,,,,
,173,"Ocean Protocol
 
OCEAN
 
OCEAN",$0.592852,0.0%,6.5%,17.7%,"$47,598,870","$256,175,729",,,,,
,174,"PAX Gold
 
PAXG
 
PAXG","$1,920.51",-2.0%,-0.1%,1.0%,"$17,410,578","$254,712,761",,,,,
,175,"Alien Worlds
 
TLM
 
TLM",$0.198945,-1.5%,0.4%,43.6%,"$24,695,410","$245,924,283",,,,,
,176,"Prometeus
 
PROM
 
PROM",$14.86,-0.4%,-2.9%,55.6%,"$12,143,951","$244,759,633",,,,,
,178,"Cartesi
 
CTSI
 
CTSI",$0.674778,1.7%,1.7%,19.8%,"$29,367,291","$244,114,402",,,,,
,180,"Orchid Protocol
 
OXT
 
OXT",$0.404206,1.2%,5.1%,21.8%,"$29,555,075","$239,186,445",,,,,
,181,"StakeHound Staked Ether
 
STETH
 
STETH","$2,446.73",?,?,?,?,"$156,753,531",,,,,
,182,"sUSD
 
SUSD
 
SUSD",$1.01,-1.7%,-0.5%,1.0%,"$33,521,012","$238,319,006",,,,,